,products,company,price,weight,star_rating,total_comments,flavours,price_per_100g,per_kg_sell,adult,chicken,wet,from_ocean,fish,tuna,salmon,mackerel,shrimps,milk,can,gravy,pouch,liver,grilled,turkey,ham,vegan
159,Pet King Proteinous and Balanced Nutrition Food for Adult Cat Kitten 1KG + Free 200 Inside,pet,428.0,1.0,,,"['Adult', 'Kitten']",42.8,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,Calibra Veterinary Diet Dry Cat Food Gastrointestinal & Pancreas 2kg,calibra,1750.0,2.0,,,['Dry'],87.5,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,"Drools Cat Real Chicken Sausage - 10 Pieces, 550g",drools,300.0,0.55,,,['Chicken'],54.54545454545455,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,Schesir Canned 51% Tuna Wet Cat Food - 85 g (Pack of 2),schesir,268.0,0.17,4.9,16.0,"['Tuna', 'Wet', 'Schesir']",157.6470588235294,25223.53,0.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,Schesir Tuna Jelly Adult Cat Wet Food Pouch - 85 g (Pack of 3),schesir,396.0,0.255,,,"['Adult', 'Tuna', 'Wet', 'Schesir', 'Jelly']",155.29411764705884,,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
164,Pet King Food Proteinous and Balanced Nutrition for Cat Kitten 1KG + Free 200 Inside,pet,480.0,1.0,,,['Kitten'],48.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,"Matisse Farmina Salmon and Tuna, 400 g",matisse,340.0,0.4,4.2,45.0,"['Tuna', 'Salmon', 'Matisse']",85.0,38250.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,"Drools Adult(+1 Year) Dry Cat Food, Ocean Fish, 3 kg with Free 1.2 kg",drools,799.0,3.0,2.8,6.0,"['Dry', 'Adult', 'Fish', 'Ocean']",26.633333333333333,1598.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,"Me-O Cat Food, Mackerel, 7 kg",me-o,,7.0,4.3,179.0,['Mackerel'],,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,"FARMINA N&D Prime - Chicken & Pomegranate- Grain Free - Cat Dry Food - Kitten (Pack of 2, Each 300Gms)",farmina,1500.0,0.6,3.9,13.0,"['Dry', 'Chicken', 'Kitten', 'Grain']",250.0,65000.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
